table_schema,table_name,column_name,data_type,udt_name,table_comment,table_prefix
public,gis_naturereserve,total_area,double precision,float8,,gis_naturereserve
public,gis_naturereserve,core_area,double precision,float8,,gis_naturereserve
public,gis_naturereserve,buffer_area,double precision,float8,,gis_naturereserve
public,gis_naturereserve,manage_org_name,character varying,varchar,,gis_naturereserve
public,gis_naturereserve,manage_org_type,character varying,varchar,,gis_naturereserve
public,gis_naturereserve,manage_org_level,character varying,varchar,,gis_naturereserve
public,gis_naturereserve,population,bigint,int8,,gis_naturereserve
public,gis_naturereserve,first_protect_animals,character varying,varchar,,gis_naturereserve
public,gis_naturereserve,second_protect_animals,character varying,varchar,,gis_naturereserve
public,gis_naturereserve,first_protect_plants,character varying,varchar,,gis_naturereserve
public,gis_naturereserve,second_protect_plants,character varying,varchar,,gis_naturereserve
public,gis_naturereserve,create_by,bigint,int8,,gis_naturereserve
public,gis_naturereserve,create_time,timestamp without time zone,timestamp,,gis_naturereserve
public,gis_naturereserve,update_by,bigint,int8,,gis_naturereserve
public,gis_naturereserve,update_time,timestamp without time zone,timestamp,,gis_naturereserve
public,gis_naturereserve,del_flag,character,bpchar,,gis_naturereserve
public,gis_poi,create_time,timestamp without time zone,timestamp,主键id,gis_poi
public,gis_poi,update_time,timestamp without time zone,timestamp,主键id,gis_poi
public,gis_poi,del_flag,character,bpchar,主键id,gis_poi
public,gis_poi,create_by,bigint,int8,主键id,gis_poi
public,gis_poi,update_by,bigint,int8,主键id,gis_poi
public,gis_region,region_code,character varying,varchar,区县数据表,gis_region
public,gis_region,region_name,character varying,varchar,区县数据表,gis_region
public,gis_region,control_unit_id,bigint,int8,区县数据表,gis_region
public,gis_region,region_level,character varying,varchar,区县数据表,gis_region
public,gis_region,parent_code,character varying,varchar,区县数据表,gis_region
public,gis_region,code,character varying,varchar,区县数据表,gis_region
public,gis_region,address,character varying,varchar,区县数据表,gis_region
public,gis_region,remark,character varying,varchar,区县数据表,gis_region
public,gis_region_city,id,integer,int4,,gis_region
public,gis_region_city,geom,USER-DEFINED,geometry,,gis_region
public,gis_region_county,id,integer,int4,行政区-区县,gis_region
public,gis_region_county,geom,USER-DEFINED,geometry,行政区-区县,gis_region
public,gis_region_population,id,bigint,int8,,gis_region
public,gis_region_population,region_id,bigint,int8,,gis_region
public,gis_region_population,city_population,double precision,float8,,gis_region
public,gis_region_population,city_area,double precision,float8,,gis_region
public,gis_region_population,city_quantity,double precision,float8,,gis_region
public,gis_region_population,rural_population,double precision,float8,,gis_region
public,gis_region_population,rural_area,double precision,float8,,gis_region
public,gis_region_population,rural_quantity,double precision,float8,,gis_region
public,gis_region_population,year,bigint,int8,,gis_region
public,gis_region_population,create_by,bigint,int8,,gis_region
public,gis_region_population,create_time,timestamp without time zone,timestamp,,gis_region
public,gis_region_population,update_by,bigint,int8,,gis_region
public,gis_region_population,update_time,timestamp without time zone,timestamp,,gis_region
public,gis_region_population,del_flag,character,bpchar,,gis_region
public,gis_region_township,id,integer,int4,行政区划-乡镇,gis_region
public,gis_region_township,geom,USER-DEFINED,geometry,行政区划-乡镇,gis_region
public,gis_watershed_partition,id,bigint,int8,空间-流域分区数据,gis_watershed
public,gis_watershed_partition_3,id,integer,int4,,gis_watershed
public,gis_watershed_partition_3,geom,USER-DEFINED,geometry,,gis_watershed
public,gis_watershed_partition_4,id,integer,int4,,gis_watershed
public,gis_watershed_partition_4,geom,USER-DEFINED,geometry,,gis_watershed
public,gis_watershed_partition_4,poly_area,double precision,float8,,gis_watershed
public,gis_watershed_partition_4,2021,character varying,varchar,,gis_watershed
public,gis_watershed_partition_4,2025,character varying,varchar,,gis_watershed
public,gis_watershed_partition_4,2035,character varying,varchar,,gis_watershed
public,layer_boundary_enterprise,id,integer,int4,工业园区-企业边界,layer_boundary
public,layer_boundary_enterprise,name,character varying,varchar,工业园区-企业边界,layer_boundary
public,layer_boundary_enterprise,code,character varying,varchar,工业园区-企业边界,layer_boundary
public,layer_boundary_enterprise,geom,USER-DEFINED,geometry,工业园区-企业边界,layer_boundary
public,layer_boundary_park,id,integer,int4,工业园区-园区边界,layer_boundary
public,layer_boundary_park,geom,USER-DEFINED,geometry,工业园区-园区边界,layer_boundary
public,layer_boundary_park,name,character varying,varchar,工业园区-园区边界,layer_boundary
public,layer_boundary_park,code,character varying,varchar,工业园区-园区边界,layer_boundary
public,layer_industrial_ghysgw,id,integer,int4,工业园区-规划雨水管网,layer_industrial
public,layer_industrial_ghysgw,geom,USER-DEFINED,geometry,工业园区-规划雨水管网,layer_industrial
public,layer_industrial_ghysgw,name,character varying,varchar,工业园区-规划雨水管网,layer_industrial
public,layer_industrial_ghysgw,code,character varying,varchar,工业园区-规划雨水管网,layer_industrial
public,layer_industrial_lsf,id,integer,int4,工业园区-园区临时闸阀,layer_industrial
public,layer_industrial_lsf,geom,USER-DEFINED,geometry,工业园区-园区临时闸阀,layer_industrial
public,layer_industrial_lsf,name,character varying,varchar,工业园区-园区临时闸阀,layer_industrial
public,layer_industrial_lsf,code,character varying,varchar,工业园区-园区临时闸阀,layer_industrial
public,layer_industrial_xzysgw,id,integer,int4,工业园区-现状雨水管网,layer_industrial
public,layer_industrial_xzysgw,geom,USER-DEFINED,geometry,工业园区-现状雨水管网,layer_industrial
public,layer_industrial_xzysgw,name,character varying,varchar,工业园区-现状雨水管网,layer_industrial
public,layer_industrial_xzysgw,code,character varying,varchar,工业园区-现状雨水管网,layer_industrial
public,layer_industrial_yjf,id,integer,int4,工业园区-园区永久闸阀,layer_industrial
public,layer_industrial_yjf,geom,USER-DEFINED,geometry,工业园区-园区永久闸阀,layer_industrial
public,layer_industrial_yjf,name,character varying,varchar,工业园区-园区永久闸阀,layer_industrial
public,layer_industrial_yjf,code,character varying,varchar,工业园区-园区永久闸阀,layer_industrial
public,layer_industrial_yjsgc,id,integer,int4,工业园区-应急事故池,layer_industrial
public,layer_industrial_yjsgc,geom,USER-DEFINED,geometry,工业园区-应急事故池,layer_industrial
public,layer_industrial_yjsgc,x,double precision,float8,工业园区-应急事故池,layer_industrial
public,layer_industrial_yjsgc,y,double precision,float8,工业园区-应急事故池,layer_industrial
