table_schema,table_name,column_name,data_type,udt_name,table_comment,table_prefix
public,rs_outlet_remediation_v2,update_time,timestamp without time zone,timestamp,排污口整治,rs_outlet
public,rs_outlet_remediation_v2,del_flag,character varying,varchar,排污口整治,rs_outlet
public,rs_outlet_trace_v2,id,bigint,int8,排污口溯源,rs_outlet
public,rs_outlet_trace_v2,create_by,bigint,int8,排污口溯源,rs_outlet
public,rs_outlet_trace_v2,create_time,timestamp without time zone,timestamp,排污口溯源,rs_outlet
public,rs_outlet_trace_v2,update_by,bigint,int8,排污口溯源,rs_outlet
public,rs_outlet_trace_v2,update_time,timestamp without time zone,timestamp,排污口溯源,rs_outlet
public,rs_outlet_trace_v2,del_flag,character varying,varchar,排污口溯源,rs_outlet
public,rs_sewage_info_v2,id,bigint,int8,污水处理厂档案管理及监测,rs_sewage
public,rs_sewage_info_v2,create_by,bigint,int8,污水处理厂档案管理及监测,rs_sewage
public,rs_sewage_info_v2,create_time,timestamp without time zone,timestamp,污水处理厂档案管理及监测,rs_sewage
public,rs_sewage_info_v2,update_by,bigint,int8,污水处理厂档案管理及监测,rs_sewage
public,rs_sewage_info_v2,update_time,timestamp without time zone,timestamp,污水处理厂档案管理及监测,rs_sewage
public,rs_sewage_info_v2,del_flag,character varying,varchar,污水处理厂档案管理及监测,rs_sewage
public,rs_sewage_park_info,create_by,bigint,int8,污水处理厂-园区配套信息表,rs_sewage
public,rs_sewage_park_info,create_time,timestamp without time zone,timestamp,污水处理厂-园区配套信息表,rs_sewage
public,rs_sewage_park_info,update_by,bigint,int8,污水处理厂-园区配套信息表,rs_sewage
public,rs_sewage_park_info,update_time,timestamp without time zone,timestamp,污水处理厂-园区配套信息表,rs_sewage
public,rs_sewage_park_info,del_flag,character varying,varchar,污水处理厂-园区配套信息表,rs_sewage
public,se_watershed,id,bigint,int8,流域产值信息：年统计值,se_watershed
public,spatial_ref_sys,srid,integer,int4,,spatial_ref
public,spatial_ref_sys,auth_name,character varying,varchar,,spatial_ref
public,spatial_ref_sys,auth_srid,integer,int4,,spatial_ref
public,spatial_ref_sys,srtext,character varying,varchar,,spatial_ref
public,spatial_ref_sys,proj4text,character varying,varchar,,spatial_ref
public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,create_by,character varying,varchar,锚地信息表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,create_date,timestamp without time zone,timestamp,锚地信息表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,update_by,character varying,varchar,锚地信息表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_anchorage_info_df,update_date,timestamp without time zone,timestamp,锚地信息表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_receive_ship_assessment_df,id,bigint,int8,接受船舶评估,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df,id,bigint,int8,船舶污染物接收码头信息表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_b_wharf_info_df,geom,USER-DEFINED,geometry,船舶污染物接收码头信息表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,shlj_text,character varying,varchar,污染物接收表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,fy_time,character varying,varchar,污染物接收表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,hyws_time,character varying,varchar,污染物接收表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,shws_time,character varying,varchar,污染物接收表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,from_port_province,character varying,varchar,污染物接收表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,from_port_city,character varying,varchar,污染物接收表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,to_port_province,character varying,varchar,污染物接收表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_ashore_apply_df,to_port_city,character varying,varchar,污染物接收表,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,trans_no,character varying,varchar,污染物转运B流程明细单,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,js_apply_no,character varying,varchar,污染物转运B流程明细单,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,js_detail_id,bigint,int8,污染物转运B流程明细单,stg_sjtysj
public,stg_sjtysj_cbwrwxtzlxxxt_p_handover_trans_detail_df,create_time,character varying,varchar,污染物转运B流程明细单,stg_sjtysj
public,stg_ycsjtysj_sxhyzssj_base_ship_df,mmsi,character varying,varchar,图层管理（船舶）KPI,stg_ycsjtysj
public,stg_ycsjtysj_sxhyzssj_base_ship_df,create_time,timestamp without time zone,timestamp,图层管理（船舶）KPI,stg_ycsjtysj
public,stg_ycsjtysj_sxhyzssj_base_ship_df,update_time,timestamp without time zone,timestamp,图层管理（船舶）KPI,stg_ycsjtysj
public,wh_meteorological_predict_day_records,winddirect_10m_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,winddirect8_10m_24h,character varying,varchar,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,winddirect16_10m_24h,character varying,varchar,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,hum_2m_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,hum_2m_24h_min,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,hum_2m_24h_max,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,stapress_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,pressure_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,p850inver_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,p925inver_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,swdown_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,glw_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,height_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,rain_24h_total,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,dewpoint_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,lowcloud_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,midcloud_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,highcloud_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,totalcloud_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,tem_2m_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,tem_2m_24h_min,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,tem_2m_24h_max,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,visib_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,pbl_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,pbl_24h_min,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,pbl_24h_max,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,windspeed_10m_24h,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,windspeed_10m_24h_min,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,windspeed_10m_24h_max,double precision,float8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,predictiontime,timestamp without time zone,timestamp,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,predictioninterval,bigint,int8,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_day_records,datadate,timestamp without time zone,timestamp,气象预报日记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,winddirect_10m_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,winddirect8_10m_1h,character varying,varchar,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,winddirect16_10m_1h,character varying,varchar,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,windspeed_10m_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,tem_2m_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,hum_2m_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,dewpoint_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,dtem_2m_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,dtem_2m_3h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,dtem_2m_6h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,dtem_2m_12h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,dtem_2m_24h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,rain_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,rain_3h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,rain_6h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,rain_12h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,rain_24h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,lowcloud_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,midcloud_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,highcloud_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,totalcloud_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,pbl_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,height_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,pressure_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,stapress_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,glw_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,swdown_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,p850inver_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,p925inver_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,visib_1h,double precision,float8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,predictiontime,timestamp without time zone,timestamp,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,predictioninterval,bigint,int8,气象预报小时记录表,wh_meteorological
public,wh_meteorological_predict_hour_records,datadate,timestamp without time zone,timestamp,气象预报小时记录表,wh_meteorological
public,wm_camera_platform,id,bigint,int8,视频平台设备信息表,wm_camera
public,wm_hydrological_info,region_code,character varying,varchar,水位站基本信息表,wm_hydrological
public,wm_hydrological_info,geom,USER-DEFINED,geometry,水位站基本信息表,wm_hydrological
public,wm_hydrological_info,last_maintenance_time,date,date,水位站基本信息表,wm_hydrological
public,wm_image_info,id,bigint,int8,档案图片信息表：用于保存各种站点、断面、污染源的图片信息,wm_image
public,wm_meteorological_info,region_code,character varying,varchar,气象自动监测站基本信息表,wm_meteorological
public,wm_meteorological_info,geom,USER-DEFINED,geometry,气象自动监测站基本信息表,wm_meteorological
public,wm_meteorological_info,last_maintenance_time,date,date,气象自动监测站基本信息表,wm_meteorological
public,wm_raster_info,id,bigint,int8,,wm_raster
public,wm_raster_inversion,id,bigint,int8,,wm_raster
public,wm_raster_inversion_config,id,bigint,int8,,wm_raster
public,wm_raster_inversion_config,type_code,bigint,int8,,wm_raster
public,wm_raster_inversion_config,name,character varying,varchar,,wm_raster
public,wm_raster_inversion_config,boundaries_json,text,text,,wm_raster
public,wm_raster_inversion_config,labels_json,text,text,,wm_raster
public,wm_raster_inversion_config,colors_json,text,text,,wm_raster
public,wm_raster_inversion_config,create_time,timestamp without time zone,timestamp,,wm_raster
public,wm_raster_inversion_config,update_time,timestamp without time zone,timestamp,,wm_raster
public,wm_raster_inversion_config,del_flag,character,bpchar,,wm_raster
public,wm_station_info,region_code,character varying,varchar,水质自动监测站基本信息表,wm_station
public,wm_station_info,geom,USER-DEFINED,geometry,水质自动监测站基本信息表,wm_station
public,wm_station_info,last_maintenance_time,date,date,水质自动监测站基本信息表,wm_station
public,wm_station_info_v2,create_by,bigint,int8,自动站管理,wm_station
public,wm_station_info_v2,create_time,timestamp without time zone,timestamp,自动站管理,wm_station
public,wm_station_info_v2,update_by,bigint,int8,自动站管理,wm_station
public,wm_station_info_v2,update_time,timestamp without time zone,timestamp,自动站管理,wm_station
public,wm_uav_info,id,bigint,int8,大疆无人机基础信息,wm_uav
public,wm_water_intake,id,bigint,int8,水源地-取水口,wm_water
public,wm_water_intake,geom,USER-DEFINED,geometry,水源地-取水口,wm_water
public,wm_water_source,id,bigint,int8,水源地信息：通过code码关联,wm_water
public,wm_water_source,geom,USER-DEFINED,geometry,水源地信息：通过code码关联,wm_water
public,wm_water_source_bak0421,id,bigint,int8,水源地信息：通过code码关联,wm_water
public,wm_water_source_intake_v2,id,bigint,int8,饮用水水源地管理及监测-取水口,wm_water
public,wm_water_source_intake_v2,create_by,bigint,int8,饮用水水源地管理及监测-取水口,wm_water
public,wm_water_source_intake_v2,create_time,timestamp without time zone,timestamp,饮用水水源地管理及监测-取水口,wm_water
public,wm_water_source_intake_v2,update_by,bigint,int8,饮用水水源地管理及监测-取水口,wm_water
public,wm_water_source_intake_v2,update_time,timestamp without time zone,timestamp,饮用水水源地管理及监测-取水口,wm_water
public,wm_water_source_intake_v2,del_flag,character varying,varchar,饮用水水源地管理及监测-取水口,wm_water
public,wm_water_source_zone_v2,id,bigint,int8,饮用水水源地管理及监测-保护区,wm_water
public,wm_water_source_zone_v2,create_by,bigint,int8,饮用水水源地管理及监测-保护区,wm_water
public,wm_water_source_zone_v2,create_time,timestamp without time zone,timestamp,饮用水水源地管理及监测-保护区,wm_water
public,wm_water_source_zone_v2,update_by,bigint,int8,饮用水水源地管理及监测-保护区,wm_water
public,wm_water_source_zone_v2,update_time,timestamp without time zone,timestamp,饮用水水源地管理及监测-保护区,wm_water
public,wm_water_source_zone_v2,del_flag,character varying,varchar,饮用水水源地管理及监测-保护区,wm_water
public,wm_water_source_zone_v2,geom,USER-DEFINED,geometry,饮用水水源地管理及监测-保护区,wm_water
public,wm_waterbody_info,water_body_code,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterbody_info,water_body_function,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterbody_info,basin,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterbody_info,country,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterbody_info,start_village,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterbody_info,end_village,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterbody_info,up_stream,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterbody_info,down_stream,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterbody_info,remark,character varying,varchar,水体信息实体类,wm_waterbody
public,wm_waterquality_day_records,status,character,bpchar,水质监测日记录表,wm_waterquality
public,wm_waterquality_day_records,record_type,character,bpchar,水质监测日记录表,wm_waterquality
public,wst_asset_trace_snap,snap_node_id,bigint,int8,水安全溯源模块-资产拓扑挂接表，用于维护业务资产与溯源拓扑节点之间的挂接关系，是资产进入 pgRouting 网络计算的桥梁,wst_asset
public,wst_asset_trace_snap,snap_edge_id,bigint,int8,水安全溯源模块-资产拓扑挂接表，用于维护业务资产与溯源拓扑节点之间的挂接关系，是资产进入 pgRouting 网络计算的桥梁,wst_asset
public,wst_asset_trace_snap,snap_distance_m,numeric,numeric,水安全溯源模块-资产拓扑挂接表，用于维护业务资产与溯源拓扑节点之间的挂接关系，是资产进入 pgRouting 网络计算的桥梁,wst_asset
public,wst_asset_trace_snap,status,character varying,varchar,水安全溯源模块-资产拓扑挂接表，用于维护业务资产与溯源拓扑节点之间的挂接关系，是资产进入 pgRouting 网络计算的桥梁,wst_asset
public,wst_asset_type_dict,asset_group,character varying,varchar,水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则,wst_asset
public,wst_asset_type_dict,asset_group_name,character varying,varchar,水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则,wst_asset
public,wst_asset_type_dict,group_sort,integer,int4,水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则,wst_asset
public,wst_asset_type_dict,group_description,text,text,水安全溯源模块-资产类型字典表，用于统一管理资产类型、图层、图标、几何类型和前端展示规则,wst_asset
public,wst_layer_river,id,bigint,int8,,wst_layer
public,wst_layer_river,river_code,character varying,varchar,,wst_layer
public,wst_layer_river,river_name,character varying,varchar,,wst_layer
public,wst_layer_river,next_down,bigint,int8,,wst_layer
public,wst_layer_river,river_class,character varying,varchar,,wst_layer
public,wst_layer_river,length_km,numeric,numeric,,wst_layer
public,wst_layer_river,from_z,numeric,numeric,,wst_layer
public,wst_layer_river,to_z,numeric,numeric,,wst_layer
public,wst_layer_river,geom,USER-DEFINED,geometry,,wst_layer
public,wst_layer_river,metadata_json,jsonb,jsonb,,wst_layer
public,wst_trace_edge,source_asset_id,bigint,int8,水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表,wst_trace
public,wst_trace_edge,from_node_id,bigint,int8,水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表,wst_trace
public,wst_trace_edge,to_node_id,bigint,int8,水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表,wst_trace
public,wst_trace_edge,direction_status,character varying,varchar,水安全溯源模块-溯源拓扑边表，用于存储河网、管网、排水路径、园区内外衔接路径，是 pgRouting 上下游分析的核心边表,wst_trace
public,wst_trace_node,asset_id,bigint,int8,水安全溯源模块-溯源拓扑节点表，用于存储河网、管网、园区排污河流、排口挂接点、断面挂接点、园区出口等 pgRouting 节点,wst_trace
public,wst_trace_topology_issue,id,bigint,int8,,wst_trace
public,wst_trace_topology_issue,issue_type,character varying,varchar,,wst_trace
public,wst_trace_topology_issue,issue_name,character varying,varchar,,wst_trace
public,wst_trace_topology_issue,issue_level,character varying,varchar,,wst_trace
public,wst_trace_topology_issue,object_type,character varying,varchar,,wst_trace
public,wst_trace_topology_issue,object_id,bigint,int8,,wst_trace
public,wst_trace_topology_issue,object_name,character varying,varchar,,wst_trace
public,wst_trace_topology_issue,status,character varying,varchar,,wst_trace
public,wst_trace_topology_issue,geom,USER-DEFINED,geometry,,wst_trace
public,wst_trace_topology_issue,issue_desc,text,text,,wst_trace
public,wst_trace_topology_issue,metadata_json,jsonb,jsonb,,wst_trace
public,wst_trace_topology_issue,remark,text,text,,wst_trace
public,wst_trace_topology_issue,del_flag,smallint,int2,,wst_trace
